GKA,Goroka Airport,Goroka,Papua New Guinea,-6.08169,145.39200,5282,10.00,Pacific/Port_Moresby
MAG,Madang Airport,Madang,Papua New Guinea,-5.20708,145.78900,20,10.00,Pacific/Port_Moresby
HGU,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,-5.82679,144.29601,5388,10.00,Pacific/Port_Moresby
LAE,Nadzab Airport,Nadzab,Papua New Guinea,-6.56980,146.72598,239,10.00,Pacific/Port_Moresby
POM,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,-9.44338,147.22000,146,10.00,Pacific/Port_Moresby
WWK,Wewak International Airport,Wewak,Papua New Guinea,-3.58383,143.66901,19,10.00,Pacific/Port_Moresby
UAK,Narsarsuaq Airport,Narssarssuaq,Greenland,61.16050,-45.42600,112,-3.00,America/Godthab
GOH,Godthaab / Nuuk Airport,Godthaab,Greenland,64.19090,-51.67810,283,-3.00,America/Godthab
SFJ,Kangerlussuaq Airport,Sondrestrom,Greenland,67.01222,-50.71160,165,-3.00,America/Godthab
THU,Thule Air Base,Thule,Greenland,76.53120,-68.70320,251,-4.00,America/Thule
AEY,Akureyri Airport,Akureyri,Iceland,65.66000,-18.07270,6,0.00,Atlantic/Reykjavik
EGS,Egilsstaðir Airport,Egilsstadir,Iceland,65.28330,-14.40140,76,0.00,Atlantic/Reykjavik
HFN,Hornafjörður Airport,Hofn,Iceland,64.29560,-15.22720,24,0.00,Atlantic/Reykjavik
HZK,Húsavík Airport,Husavik,Iceland,65.95230,-17.42600,48,0.00,Atlantic/Reykjavik
IFJ,Ísafjörður Airport,Isafjordur,Iceland,66.05810,-23.13530,8,0.00,Atlantic/Reykjavik
KEF,Keflavik International Airport,Keflavik,Iceland,63.98500,-22.60560,171,0.00,Atlantic/Reykjavik
PFJ,Patreksfjörður Airport,Patreksfjordur,Iceland,65.55580,-23.96500,11,0.00,Atlantic/Reykjavik
RKV,Reykjavik Airport,Reykjavik,Iceland,64.13000,-21.94060,48,0.00,Atlantic/Reykjavik
SIJ,Siglufjörður Airport,Siglufjordur,Iceland,66.13330,-18.91670,10,0.00,Atlantic/Reykjavik
VEY,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,63.42430,-20.27890,326,0.00,Atlantic/Reykjavik
YAM,Sault Ste Marie Airport,Sault Sainte Marie,Canada,46.48500,-84.50940,630,-5.00,America/Toronto
YAV,Winnipeg / St. Andrews Airport,Winnipeg,Canada,50.05640,-97.03250,760,-6.00,America/Winnipeg
YAW,Halifax / CFB Shearwater Heliport,Halifax,Canada,44.63970,-63.49940,144,-4.00,America/Halifax
YAY,St. Anthony Airport,St. Anthony,Canada,51.39190,-56.08310,108,-3.50,America/St_Johns
YAZ,Tofino / Long Beach Airport,Tofino,Canada,49.07983,-125.77558,80,-8.00,America/Vancouver
YBB,Kugaaruk Airport,Pelly Bay,Canada,68.53440,-89.80810,56,-7.00,America/Edmonton
YBC,Baie Comeau Airport,Baie Comeau,Canada,49.13250,-68.20440,71,-5.00,America/Toronto
YBG,CFB Bagotville,Bagotville,Canada,48.33060,-70.99640,522,-5.00,America/Toronto
YBK,Baker Lake Airport,Baker Lake,Canada,64.29890,-96.07780,59,-6.00,America/Winnipeg
YBL,Campbell River Airport,Campbell River,Canada,49.95080,-125.27100,346,-8.00,America/Vancouver
YBR,Brandon Municipal Airport,Brandon,Canada,49.91000,-99.95190,1343,-6.00,America/Winnipeg
YCB,Cambridge Bay Airport,Cambridge Bay,Canada,69.10810,-105.13800,90,-7.00,America/Edmonton
YCD,Nanaimo Airport,Nanaimo,Canada,49.05497,-123.86986,92,-8.00,America/Vancouver
YCG,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,49.29640,-117.63200,1624,-8.00,America/Vancouver
YCH,Miramichi Airport,Chatham,Canada,47.00780,-65.44920,108,-4.00,America/Halifax
YCL,Charlo Airport,Charlo,Canada,47.99080,-66.33030,132,-4.00,America/Halifax
YCO,Kugluktuk Airport,Coppermine,Canada,67.81670,-115.14400,74,-7.00,America/Edmonton
YCT,Coronation Airport,Coronation,Canada,52.07500,-111.44500,2595,-7.00,America/Edmonton
YCW,Chilliwack Airport,Chilliwack,Canada,49.15280,-121.93900,32,-8.00,America/Vancouver
YCY,Clyde River Airport,Clyde River,Canada,70.48610,-68.51670,87,-5.00,America/Toronto
YZS,Coral Harbour Airport,Coral Harbour,Canada,64.19330,-83.35940,210,-5.00,America/Coral_Harbour
YDA,Dawson City Airport,Dawson,Canada,64.04310,-139.12801,1215,-8.00,America/Vancouver
YDB,Burwash Airport,Burwash,Canada,61.37110,-139.04100,2647,-8.00,America/Vancouver
YDC,Princeton Airport,Princeton,Canada,49.46810,-120.51100,2298,-8.00,America/Vancouver
YDF,Deer Lake Airport,Deer Lake,Canada,49.21080,-57.39140,72,-3.50,America/St_Johns
YDL,Dease Lake Airport,Dease Lake,Canada,58.42220,-130.03200,2600,-8.00,America/Vancouver
YDN,Dauphin Barker Airport,Dauphin,Canada,51.10080,-100.05200,999,-6.00,America/Winnipeg
YDQ,Dawson Creek Airport,Dawson Creek,Canada,55.74230,-120.18300,2148,-7.00,America/Dawson_Creek
YEG,Edmonton International Airport,Edmonton,Canada,53.30970,-113.58000,2373,-7.00,America/Edmonton
YEK,Arviat Airport,Eskimo Point,Canada,61.09420,-94.07080,32,-6.00,America/Winnipeg
YEN,Estevan Airport,Estevan,Canada,49.21030,-102.96600,1905,-6.00,America/Regina
YET,Edson Airport,Edson,Canada,53.57890,-116.46500,3043,-7.00,America/Edmonton
YEU,Eureka Airport,Eureka,Canada,79.99470,-85.81420,256,-6.00,America/Winnipeg
YEV,Inuvik Mike Zubko Airport,Inuvik,Canada,68.30420,-133.48300,224,-7.00,America/Edmonton
YFB,Iqaluit Airport,Iqaluit,Canada,63.75640,-68.55580,110,-5.00,America/Toronto
YFC,Fredericton Airport,Fredericton,Canada,45.86890,-66.53720,68,-4.00,America/Halifax
YFO,Flin Flon Airport,Flin Flon,Canada,54.67810,-101.68200,997,-6.00,America/Winnipeg
YFR,Fort Resolution Airport,Fort Resolution,Canada,61.18080,-113.69000,526,-7.00,America/Edmonton
YFS,Fort Simpson Airport,Fort Simpson,Canada,61.76020,-121.23700,555,-7.00,America/Edmonton
YGK,Kingston Norman Rogers Airport,Kingston,Canada,44.22530,-76.59690,305,-5.00,America/Toronto
YGL,La Grande Rivière Airport,La Grande Riviere,Canada,53.62530,-77.70420,639,-5.00,America/Toronto
YGP,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,48.77530,-64.47860,112,-5.00,America/Toronto
YGQ,Geraldton Greenstone Regional Airport,Geraldton,Canada,49.77830,-86.93940,1144,-5.00,America/Toronto
YGR,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,47.42470,-61.77810,35,-5.00,America/Toronto
YHB,Hudson Bay Airport,Hudson Bay,Canada,52.81670,-102.31100,1175,-6.00,America/Regina
