codigo_iata;ciudad
3AU;Augusta
52A;Madison
AAE;Annaba
AAL;Aalborg
AAN;Al Ain
AAR;Aarhus
ABE;Allentown
ABI;Abilene
ABQ;Albuquerque
ABR;Aberdeen
ABS;Abu Simbel
ABX;Albury
ABY;Albany
ABZ;Aberdeen
ACT;Waco
ACX;Xingyi
ACY;Atlantic City
ADA;Adana
ADQ;Kodiak
AER;Sochi
AEX;Alexandria
AEY;Akureyri
AFA;San Rafael
AFL;Alta Floresta
AFZ;Sabzevar
AGA;Agadir
AGC;Pittsburgh
AGR;Agra
AGU;Aguascalientes
AHB;Abha
AHE;Ahe
AIT;Aitutaki
AJA;Ajaccio
AJU;Aracaju
AKC;Akron
AKJ;Asahikawa
AKL;Auckland
AKN;King Salmon
AKO;Akron
ALB;Albany
ALC;Alicante
ALF;Alta
ALH;Albany
ALO;Waterloo
ALS;Alamosa
ALW;Walla Walla
ALY;Alexandria
AMA;Amarillo
AMD;Ahmedabad
AMH;Arba Minch
AMQ;Ambon
ANC;Anchorage
ANF;Antofagasta
ANI;Aniak
ANK;Ankara
ANS;Andahuaylas
AOH;Lima
AOI;Ancona
AOK;Karpathos
AOR;Alor Setar
APA;Denver
APG;Aberdeen
APL;Nampula
APN;Alpena
AQG;Anqing
AQP;Arequipa
ARK;Arusha
ARM;Armidale
ART;Watertown
ASE;Aspen
ASP;Alice Springs
ASR;Kayseri
ATL;Atlanta
ATM;Altamira
ATQ;Amritsar
ATW;Appleton
ATY;Watertown
AUG;Augusta
AUS;Austin
AUW;Wausau
AVL;Asheville
AVW;Tucson
AXM;Armenia
AXN;Alexandria
AXP;Spring Point
AXR;Arutua
AXT;Akita
AYP;Ayacucho
AYQ;Uluru
AYT;Antalya
AZD;Yazd
AZO;Kalamazoo
AZR;Adrar
BAD;Shreveport
BAL;Batman
BAQ;Barranquilla
BAU;Bauru
BAV;Baotou
BAY;Baia Mare
BBA;Balmaceda
BBK;Kasane
BBN;Bario
BCN;Barcelona
BDJ;Banjarmasin
BDO;Bandung
BEC;Wichita
BES;Brest
BET;Bethel
BEW;Beira
BEY;Beirut
BFH;Curitiba
BFI;Seattle
BFJ;Bijie
BFL;Bakersfield
BFM;Mobile
BFN;Bloemfontein
BGA;Bucaramanga
BGF;Bangui
BGI;Bridgetown
BGM;Binghamton
BGO;Bergen
BGR;Bangor
BHM;Birmingham
BHO;Bhopal
BHQ;Broken Hill
BHS;Bathurst
BHV;Bahawalpur
BHX;Birmingham
BHY;Beihai
BIA;Bastia
BIF;El Paso
BIK;Biak
BIL;Billings
BIO;Bilbao
BIS;Bismarck
BJI;Bemidji
BJL;Banjul
BJV;Bodrum
BKI;Kota Kinabalu
BKL;Cleveland
BKO;Bamako
BKQ;Blackall
BKS;Bengkulu
BKZ;Bukoba
BLA;Barcelona
BLI;Bellingham
BLJ;Batna
BLL;Billund
BLR;Bangalore
BLV;Belleville
BLZ;Blantyre
BME;Broome
BMG;Bloomington
BMI;Bloomington
BMT;Beaumont
BMU;Bima
BMW;Bordj Badji Mokhtar
BNA;Nashville
BNC;Beni
BNE;Brisbane
BOB;Bora Bora
BOH;Bournemouth
BOI;Boise
BOS;Boston
BPL;Bole
BPN;Balikpapan
BPS;Porto Seguro
BPT;Beaumont
BQK;Brunswick
BQN;Aguadilla
BQT;Brest
BRD;Brainerd
BRE;Bremen
BRI;Bari
BRL;Burlington
BRO;Brownsville
BRQ;Brno
BRS;Bristol
BRW;Barrow
BSB;Brasilia
BSG;Bata
BSK;Biskra
BTH;Batam
BTJ;Banda Aceh
BTM;Butte
BTR;Baton Rouge
BTS;Bratislava
BTU;Bintulu
BTV;Burlington
BUD;Budapest
BUQ;Bulawayo
BUR;Burbank
BUS;Batumi
BUU;Burlington
BUX;Bunia
BUZ;Bushehr
BVB;Boa Vista
BVC;Boa Vista
BVH;Vilhena
BWN;Bandar Seri Begawan
BWT;Burnie
BWU;Sydney
BXN;Bodrum
BZG;Bydgoszcz
BZN;Bozeman
BZV;Brazzaville
CAB;Cabinda
CAC;Cascavel
CAE;Columbia
CAG;Cagliari
CAK;Akron
CBB;Cochabamba
CBR;Canberra
