--,ELK Airways,,Estonia
-+,U.S. Air,,United States
::,Llloyd Helicopters,,Australia
??,South West Africa Territory Force,,Namibia
..,Avilu,,Switzerland
\\',Jayrow,,Australia
++,Lombards Air,,South Africa
00,AirOne Continental,Eastern,Slovakia
04,Antrak Air,ANTRAK,Ghana
07,Samurai Airlines,Sam,Pakistan
0A,Amber Air,GINTA,Lithuania
0B,Blue Air,BLUE TRANSPORT,Romania
0D,Darwin Airline,DARWIN,Switzerland
0G,Global Airlines,,Argentina
0J,Jetclub,JETCLUB,Switzerland
0M,All America MX,,Mexico
0P,All America BOPY,BOPY,Paraguay
0X,Copenhagen Express,Copex,Denmark
0Y,All America CO,,Colombia
10,Canadian World,Canadian,Canada
12,12 North,12N,India
13,Eastern Atlantic Virtual Airlines,EAVA,United States
1A,Amadeus Global Travel Distribution,AMADEUS,Spain
1C,OneChina,,China
1E,TransRussiaAirlines,,Russia
1F,CB Airways UK ( Interliging Flights ),,United Kingdom
1H,Hellenic Airways,Hellenic,Greece
1I,Sky Trek International Airlines,PHAZER,United States
1K,BudgetAir,,Germany
1L,Open Skies Consultative Commission,OPEN SKIES,United States
1R,All America CL,,Chile
1T,1Time Airline,NEXTIME,South Africa
1Y,All America BR,,Brazil
20,Air Salone,AIR SALONE,Sierra Leone
2B,Aerocondor,AEROCONDOR,Portugal
2D,Aero VIP,AVIP,Argentina
2F,Frontier Flying Service,FRONTIER-AIR,United States
2G,San Juan Airlines,MARINER,United States
2J,Air Burkina,BURKINA,Burkina Faso
2K,Aerolineas Galapagos (Aerogal),AEROGAL,Ecuador
2L,Helvetic Airways,HELVETIC,Switzerland
2M,Moldavian Airlines,MOLDAVIAN,Moldova
2N,NextJet,NEXTJET,Sweden
2P,Air Philippines,ORIENT PACIFIC,Philippines
2Q,Air Cargo Carriers,NIGHT CARGO,United States
2R,All America AR,,Argentina
2S,Island Express,SANDY ISLE,United States
2T,Haiti Ambassador Airlines,,Haiti
2U,Air Guinee Express,FUTURE EXPRESS,Guinea
2W,Welcome Air,WELCOMEAIR,Austria
2X,Regionalia Uruguay,,Uruguay
2Y,Air Andaman (2Y),AIR ANDAMAN,Thailand
2Z,Changan Airlines,CHANGAN,China
3C,RegionsAir,CORP-X,United States
3D,Palair Macedonia,,Macedonia
3F,Fly Colombia ( Interliging Flights ),,Colombia
3G,Atlant-Soyuz Airlines,ATLANT-SOYUZ,Russia
3J,Zip,ZIPPER,Canada
